college,ethnicity,group,students,sum,success,subject
College of Alameda,African American,Four Levels Below Transfer,24,4,16.67,English
College of Alameda,Asian,Four Levels Below Transfer,19,4,21.05,English
College of Alameda,Hispanic,Four Levels Below Transfer,14,0,0,English
College of Alameda,White Non-Hispanic,Four Levels Below Transfer,5,1,20,English
Allan Hancock College,African American,Four Levels Below Transfer,6,0,0,English
Allan Hancock College,Asian,Four Levels Below Transfer,5,1,20,English
Allan Hancock College,Hispanic,Four Levels Below Transfer,86,20,23.26,English
Allan Hancock College,Multi-Ethnicity,Four Levels Below Transfer,2,1,50,English
Allan Hancock College,White Non-Hispanic,Four Levels Below Transfer,8,0,0,English
Antelope Valley College,African American,Four Levels Below Transfer,3,1,33.33,English
Antelope Valley College,Asian,Four Levels Below Transfer,1,0,0,English
Antelope Valley College,Hispanic,Four Levels Below Transfer,4,1,25,English
Antelope Valley College,Multi-Ethnicity,Four Levels Below Transfer,1,0,0,English
Butte College,Asian,Four Levels Below Transfer,7,0,0,English
Butte College,Hispanic,Four Levels Below Transfer,20,2,10,English
Butte College,Multi-Ethnicity,Four Levels Below Transfer,1,0,0,English
Butte College,Unknown,Four Levels Below Transfer,1,0,0,English
Butte College,White Non-Hispanic,Four Levels Below Transfer,13,2,15.38,English
Coastline Community College,African American,Four Levels Below Transfer,17,2,11.76,English
Coastline Community College,Asian,Four Levels Below Transfer,15,2,13.33,English
Coastline Community College,Hispanic,Four Levels Below Transfer,30,5,16.67,English
Coastline Community College,Unknown,Four Levels Below Transfer,1,0,0,English
Coastline Community College,White Non-Hispanic,Four Levels Below Transfer,11,2,18.18,English
Contra Costa College,African American,Four Levels Below Transfer,8,0,0,English
Contra Costa College,Asian,Four Levels Below Transfer,4,0,0,English
Contra Costa College,Hispanic,Four Levels Below Transfer,14,0,0,English
Contra Costa College,Multi-Ethnicity,Four Levels Below Transfer,1,0,0,English
Los Angeles Mission College,Hispanic,Four Levels Below Transfer,10,1,10,English
Los Angeles Pierce College,African American,Four Levels Below Transfer,3,0,0,English
Los Angeles Pierce College,Asian,Four Levels Below Transfer,2,0,0,English
Los Angeles Pierce College,Hispanic,Four Levels Below Transfer,16,0,0,English
Los Angeles Pierce College,Unknown,Four Levels Below Transfer,2,1,50,English
Los Angeles Pierce College,White Non-Hispanic,Four Levels Below Transfer,12,0,0,English
Los Angeles Valley College,Asian,Four Levels Below Transfer,1,0,0,English
Los Angeles Valley College,Hispanic,Four Levels Below Transfer,9,0,0,English
Los Angeles Valley College,Multi-Ethnicity,Four Levels Below Transfer,1,0,0,English
Los Angeles Valley College,White Non-Hispanic,Four Levels Below Transfer,21,0,0,English
Laney College,African American,Four Levels Below Transfer,62,6,9.68,English
Laney College,Asian,Four Levels Below Transfer,15,0,0,English
Laney College,Hispanic,Four Levels Below Transfer,17,1,5.88,English
Laney College,Multi-Ethnicity,Four Levels Below Transfer,6,0,0,English
Laney College,Unknown,Four Levels Below Transfer,6,0,0,English
Laney College,White Non-Hispanic,Four Levels Below Transfer,3,0,0,English
College of Marin,African American,Four Levels Below Transfer,3,0,0,English
College of Marin,Hispanic,Four Levels Below Transfer,13,4,30.77,English
College of Marin,Multi-Ethnicity,Four Levels Below Transfer,4,1,25,English
College of Marin,White Non-Hispanic,Four Levels Below Transfer,2,0,0,English
Merritt College,African American,Four Levels Below Transfer,54,4,7.41,English
Merritt College,American Indian/Alaskan Native,Four Levels Below Transfer,1,0,0,English
Merritt College,Asian,Four Levels Below Transfer,17,3,17.65,English
Merritt College,Hispanic,Four Levels Below Transfer,22,6,27.27,English
Merritt College,Multi-Ethnicity,Four Levels Below Transfer,5,0,0,English
Merritt College,Unknown,Four Levels Below Transfer,1,0,0,English
Merritt College,White Non-Hispanic,Four Levels Below Transfer,1,0,0,English
Napa Valley College,African American,Four Levels Below Transfer,6,0,0,English
Napa Valley College,Asian,Four Levels Below Transfer,1,0,0,English
Napa Valley College,Hispanic,Four Levels Below Transfer,10,0,0,English
Napa Valley College,Multi-Ethnicity,Four Levels Below Transfer,1,0,0,English
Napa Valley College,Unknown,Four Levels Below Transfer,1,0,0,English
Napa Valley College,White Non-Hispanic,Four Levels Below Transfer,2,0,0,English
Palo Verde College,African American,Four Levels Below Transfer,1,0,0,English
Palo Verde College,Hispanic,Four Levels Below Transfer,9,0,0,English
Palo Verde College,Multi-Ethnicity,Four Levels Below Transfer,1,0,0,English
City College of San Francisco,African American,Four Levels Below Transfer,48,9,18.75,English
City College of San Francisco,American Indian/Alaskan Native,Four Levels Below Transfer,1,0,0,English
City College of San Francisco,Asian,Four Levels Below Transfer,94,32,34.04,English
City College of San Francisco,Hispanic,Four Levels Below Transfer,104,8,7.69,English
City College of San Francisco,Multi-Ethnicity,Four Levels Below Transfer,3,0,0,English
City College of San Francisco,Pacific Islander,Four Levels Below Transfer,7,1,14.29,English
City College of San Francisco,Unknown,Four Levels Below Transfer,3,1,33.33,English
