state,visited
Alabama,0
Alaska,0
Arkansas,1
Arizona,1
California,2
Colorado,1
Connecticut,0
Delaware,0
Florida,0
Georgia,1
Hawaii,1
Iowa,0
Idaho,0
Illinois,1
Indiana,1
Kansas,1
Kentucky,0
Louisiana,1
Maine,0
Maryland,0
Massachusetts,0
Michigan,1
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,1
Nevada,1
New York,1
Ohio,1
Oklahoma,0
Oregon,1
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,1
Tennessee,0
Texas,1
Utah,0
Virginia,0
Vermont,0
Washington,1
Wisconsin,0
West Virginia,0
Wyoming,0
